tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels
@terryflewers Abuse is wrong but telling him to shut the fuck up and put a performance in isn’t wrong. Why is he always writing essays,6,"['Annotator_461', 'Annotator_462', 'Annotator_463', 'Annotator_464', 'Annotator_465', 'Annotator_466']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['Asian', 'White or Caucasian', 'White or Caucasian', 'Black or African American', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['United Kingdom', 'Poland', 'Portugal', 'South Africa', 'Greece', 'United Kingdom']","['NO', 'YES', 'NO', 'NO', 'NO', 'NO']"
@thestephaniewat It’s also mansplaining to tell a heroic health care worker her mask isn’t good enough. Or to act as if your field / your contribution to pandemic response is the only thing that matters whilst condescending toward someone like Dr Kupp,6,"['Annotator_508', 'Annotator_509', 'Annotator_510', 'Annotator_511', 'Annotator_512', 'Annotator_513']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Black or African American', 'Black or African American']","['High school degree or equivalent', 'Master’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Portugal', 'Australia', 'Mexico', 'Portugal', 'South Africa', 'South Africa']","['YES', 'YES', 'YES', 'NO', 'YES', 'NO']"
"Prince Harry in therapy thanks to his wife..she is a gold digger and opportunist who manipulates him.  Now that he's away from the family he was born into, she is able to manipulate him even more.  His mother would not have wanted him to be estranged from his family or duties.",6,"['Annotator_590', 'Annotator_591', 'Annotator_592', 'Annotator_593', 'Annotator_594', 'Annotator_595']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['White or Caucasian', 'Black or African American', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree']","['Italy', 'South Africa', 'Poland', 'Mexico', 'Greece', 'United States']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']"
@PepperOceanna My conservative Mom forcing me to watch an episode of Rush Limbaugh back in the early 90s when he had a TV show. First time I heard “Feminazi” 🙄,6,"['Annotator_473', 'Annotator_474', 'Annotator_475', 'Annotator_476', 'Annotator_477', 'Annotator_27']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree']","['Mexico', 'Portugal', 'Poland', 'Hungary', 'United Kingdom', 'Poland']","['YES', 'YES', 'YES', 'NO', 'YES', 'YES']"
"Not unreasonable, but you look like a bitch for making it anonymous. You know people would want smoke with you, no pun intended lol. https://t.co/LenvsIiniJ",6,"['Annotator_415', 'Annotator_416', 'Annotator_417', 'Annotator_418', 'Annotator_340', 'Annotator_419']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['White or Caucasian', 'Multiracial', 'White or Caucasian', 'Black or African American', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Less than high school diploma']","['Slovenia', 'Netherlands', 'United Kingdom', 'South Africa', 'Venezuela', 'United Kingdom']","['NO', 'YES', 'NO', 'YES', 'YES', 'YES']"
"I don’t understand women who go to the club with their friends &amp; leave them behind drunk and shit. Bitch we came together, we leaving together. I don’t ever play that shit.",6,"['Annotator_431', 'Annotator_432', 'Annotator_433', 'Annotator_434', 'Annotator_435', 'Annotator_436']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Master’s degree']","['Mexico', 'Poland', 'Greece', 'Poland', 'Canada', 'United Kingdom']","['NO', 'YES', 'NO', 'YES', 'YES', 'NO']"
Aughhh i still got an exam tomorrow. I hate women,6,"['Annotator_785', 'Annotator_786', 'Annotator_787', 'Annotator_788', 'Annotator_789', 'Annotator_790']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '18-22', '23-45', '46+']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree']","['Poland', 'Mexico', 'United Kingdom', 'Sweden', 'Mexico', 'Belgium']","['YES', 'YES', 'NO', 'YES', 'YES', 'YES']"
Swear guys who can sing are damn attractive to me 🥺 https://t.co/taxN2uLrFm,6,"['Annotator_549', 'Annotator_550', 'Annotator_551', 'Annotator_552', 'Annotator_553', 'Annotator_554']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['Black or African American', 'Black or African American', 'White or Caucasian', 'White or Caucasian', 'Asian', 'Black or African American']","['Bachelor’s degree', 'other', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['South Africa', 'South Africa', 'Poland', 'Italy', 'United Kingdom', 'South Africa']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
@MatrixPirate12 Well let me ask for the guys… do you ever just grab your testicles because you can?,6,"['Annotator_785', 'Annotator_786', 'Annotator_787', 'Annotator_788', 'Annotator_789', 'Annotator_790']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '18-22', '23-45', '46+']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree']","['Poland', 'Mexico', 'United Kingdom', 'Sweden', 'Mexico', 'Belgium']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
"@AlexVickeryHowe @SteveBoyd0704 @neiljmcevoy @Therumblebear That would matter if anyone was being abused or harassed. But no one was, so it's just yet another bogus claim from a guy with no reliable statistics, research, or proof.Unless you have more bull",6,"['Annotator_567', 'Annotator_568', 'Annotator_569', 'Annotator_570', 'Annotator_190', 'Annotator_571']","['F', 'F', 'M', 'M', 'M', 'F']","['18-22', '23-45', '18-22', '23-45', '46+', '46+']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Italy', 'Poland', 'Portugal', 'Mexico', 'Canada', 'South Africa']","['YES', 'YES', 'YES', 'NO', 'NO', 'NO']"
